IndicatorId,Year,YearRange,Quarter,Month,AgeId,SexId,AreaCode,Count,Value,LowerCI95,UpperCI95,Denominator,Denominator_2,ValueNoteId,CategoryTypeId,CategoryId
92175,2060,1,-1,12,1,4,RAP,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,RAS,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,RAS,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,RAS,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,RAS,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,RAS,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,RAX,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,RAX,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,RAX,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,RAX,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,RAX,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,RBA,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,RBA,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,RBA,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,RBA,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,RBA,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,RBD,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,RBD,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,RBD,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,RBD,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,RBD,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,E92000001,10,10,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,E92000001,8,8,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,E92000001,17,17,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,E92000001,6,6,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,E92000001,18,18,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,R1F,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,R1F,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,R1F,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,R1F,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,R1F,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,R1H,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,R1H,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,R1H,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,R1H,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,R1H,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,R1K,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,R1K,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,R1K,1,1,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,R1K,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,R1K,1,1,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,RA2,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,RA2,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,RA2,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,RA2,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,RA2,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,RA3,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,RA3,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,RA3,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,RA3,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,RA3,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,RA4,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,RA4,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,RA4,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,RA4,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,RA4,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,RA7,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,RA7,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,RA7,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,RA7,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,RA7,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,RA9,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,RA9,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,RA9,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,RA9,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,RA9,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,RAE,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,RAE,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,RAE,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,RAE,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,12,1,4,RAE,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,8,1,4,RAJ,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,9,1,4,RAJ,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,10,1,4,RAJ,0,0,-1,-1,-1,-1,0,-1,-1
92175,2060,1,-1,11,1,4,RAJ,0,0,-1,-1,-1,-1,0,-1,-1
